"servidor";"protocolo";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
"vsrv10";"OPENVPN_L2";0;0;0;0;0;0;0;0;0;0;0;26
"vsrv10";"OPENVPN_L3";0;0;0;0;0;0;0;0;0;0;0;0
"vsrv10";"PPTP";0;0;0;0;0;0;0;0;0;0;0;291
"vsrv10";"SOFTETHER";0;0;0;0;0;0;0;0;0;0;0;8
"vsrv10";"SSTP";0;0;0;0;0;0;0;0;0;0;0;309
"vsrv11";"OPENVPN_L2";66;53;60;44;74;20;46;3;148;236;211;55
"vsrv11";"OPENVPN_L3";0;0;0;0;0;30;11;16;3;57;38;0
"vsrv11";"PPTP";173;173;320;235;218;209;136;110;238;236;165;123
"vsrv11";"SOFTETHER";57;21;57;48;59;36;65;29;64;122;199;158
"vsrv11";"SSTP";68;53;77;32;32;23;16;26;93;107;203;118
"vsrv16";"OPENVPN_L2";126;7;30;7;32;8;9;0;29;51;107;113
"vsrv16";"OPENVPN_L3";0;0;0;0;0;0;1;0;0;3;12;0
"vsrv16";"PPTP";1751;153;259;201;353;323;165;132;277;883;1575;803
"vsrv16";"SOFTETHER";6;0;5;1;3;11;4;0;2;35;20;15
"vsrv16";"SSTP";1586;87;160;227;293;372;81;41;453;1247;1725;902
"vsrv17";"OPENVPN_L2";102;11;10;10;29;4;8;0;21;54;119;81
"vsrv17";"OPENVPN_L3";0;0;0;0;0;0;1;0;0;4;9;0
"vsrv17";"PPTP";1644;157;251;192;264;228;118;110;273;833;1457;770
"vsrv17";"SOFTETHER";7;0;14;2;4;15;0;1;1;41;32;8
"vsrv17";"SSTP";1372;99;180;194;283;327;64;41;417;1201;1648;872
"vsrv8";"OPENVPN_L2";104;8;18;7;32;4;10;0;25;58;119;67
"vsrv8";"OPENVPN_L3";0;0;0;0;0;1;3;0;0;5;13;1
"vsrv8";"PPTP";1623;167;248;190;303;258;128;117;267;823;1462;783
"vsrv8";"SOFTETHER";5;1;9;3;2;11;0;0;1;41;30;15
"vsrv8";"SSTP";1461;91;160;178;301;327;60;37;432;1191;1700;924
